UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
BA,36706,JUCURUÇU," 8,646 "
BA,36714,JUSSARA," 13,133 "
BA,30694,JUSSARI," 5,097 "
BA,36730,JUSSIAPE," 6,832 "
BA,36757,LAFAIETE COUTINHO," 3,746 "
BA,36765,LAGOA REAL," 10,562 "
BA,36773,LAJE," 20,200 "
BA,36790,LAJEDÃO," 4,909 "
BA,36811,LAJEDINHO," 3,505 "
BA,36820,LAJEDO DO TABOCAL," 6,480 "
BA,36838,LAMARÃO," 8,334 "
BA,39730,LAPÃO," 22,055 "
BA,36854,LAURO DE FREITAS," 145,205 "
BA,36870,LENÇÓIS," 7,988 "
BA,36897,LICÍNIO DE ALMEIDA," 9,840 "
BA,36919,LIVRAMENTO DE NOSSA SENHORA," 34,722 "
BA,30007,LUÍS EDUARDO MAGALHÃES," 65,734 "
BA,36935,MACAJUBA," 10,268 "
BA,36951,MACARANI," 13,917 "
BA,36978,MACAÚBAS," 33,940 "
BA,36994,MACURURÉ," 6,649 "
BA,39748,MADRE DE DEUS," 15,310 "
BA,39756,MAETINGA," 7,175 "
BA,37010,MAIQUINIQUE," 7,707 "
BA,37036,MAIRI," 14,281 "
BA,37052,MALHADA," 13,858 "
BA,37079,MALHADA DE PEDRAS," 7,226 "
BA,37095,MANOEL VITORINO," 12,276 "
BA,39772,MANSIDÃO," 10,352 "
BA,37117,MARACÁS," 21,605 "
BA,37133,MARAGOGIPE," 34,003 "
BA,37150,MARAÚ," 14,828 "
BA,37176,MARCIONÍLIO SOUZA," 7,769 "
BA,37192,MASCOTE," 9,981 "
BA,37214,MATA DE SÃO JOÃO," 40,945 "
BA,37222,MATINA," 9,402 "
BA,37230,MEDEIROS NETO," 18,705 "
BA,37257,MIGUEL CALMON," 21,672 "
BA,37273,MILAGRES," 9,378 "
BA,37290,MIRANGABA," 11,188 "
BA,37303,MIRANTE," 7,963 "
BA,37311,MONTE SANTO," 44,109 "
BA,37338,MORPARÁ," 7,628 "
BA,37354,MORRO DO CHAPÉU," 25,227 "
BA,37370,MORTUGABA," 9,644 "
BA,37397,MUCUGÊ," 9,546 "
BA,37419,MUCURI," 30,835 "
BA,37427,MULUNGU DO MORRO," 10,736 "
BA,37435,MUNDO NOVO," 15,771 "
BA,37451,MUNIZ FERREIRA," 7,379 "
BA,37460,MUQUÉM DO SÃO FRANCISCO," 9,577 "
BA,37478,MURITIBA," 22,356 "
BA,37494,MUTUÍPE," 18,672 "
BA,37516,NAZARÉ," 21,960 "
BA,37532,NILO PEÇANHA," 9,562 "
BA,39799,NORDESTINA," 10,777 "
