UF,CÓDIGO DO MUNICÍPIO NO TSE,MUNICÍPIO, ELEITORADO 
PE,23299,BELÉM DE MARIA," 9,804 "
PE,23310,BELÉM DO SÃO FRANCISCO," 14,725 "
PE,23337,BELO JARDIM," 62,104 "
PE,23353,BETÂNIA," 10,312 "
PE,23370,BEZERROS," 44,797 "
PE,23396,BODOCÓ," 23,965 "
PE,23418,BOM CONSELHO," 36,977 "
PE,23434,BOM JARDIM," 28,916 "
PE,23450,BONITO," 29,328 "
PE,23477,BREJÃO," 8,848 "
PE,23493,BREJINHO," 7,722 "
PE,23515,BREJO DA MADRE DE DEUS," 32,492 "
PE,23531,BUENOS AIRES," 10,951 "
PE,23558,BUÍQUE," 38,134 "
PE,23574,CABO DE SANTO AGOSTINHO," 153,062 "
PE,23590,CABROBÓ," 24,941 "
PE,23612,CACHOEIRINHA," 15,554 "
PE,23639,CAETÉS," 19,700 "
PE,23655,CALÇADO," 7,065 "
PE,23671,CALUMBI," 6,154 "
PE,26298,CAMARAGIBE," 114,394 "
PE,23698,CAMOCIM DE SÃO FÉLIX," 14,395 "
PE,23710,CAMUTANGA," 7,365 "
PE,23736,CANHOTINHO," 16,409 "
PE,23752,CAPOEIRAS," 15,779 "
PE,23779,CARNAÍBA," 15,139 "
PE,23167,CARNAUBEIRA DA PENHA," 12,064 "
PE,23795,CARPINA," 53,138 "
PE,23817,CARUARU," 225,164 "
PE,23221,CASINHAS," 11,531 "
PE,23833,CATENDE," 24,809 "
PE,23850,CEDRO," 9,668 "
PE,23876,CHÃ DE ALEGRIA," 10,710 "
PE,23892,CHÃ GRANDE," 18,507 "
PE,23914,CONDADO," 20,589 "
PE,23930,CORRENTES," 13,571 "
PE,23957,CORTÊS," 10,557 "
PE,23973,CUMARU," 15,335 "
PE,23990,CUPIRA," 19,445 "
PE,24015,CUSTÓDIA," 27,133 "
PE,23140,DORMENTES," 16,085 "
PE,24031,ESCADA," 45,632 "
PE,24058,EXU," 26,460 "
PE,24074,FEIRA NOVA," 18,223 "
PE,24090,FERREIROS," 9,689 "
PE,24112,FLORES," 15,801 "
PE,24139,FLORESTA," 23,058 "
PE,24155,FREI MIGUELINHO," 11,681 "
PE,24171,GAMELEIRA," 15,178 "
PE,24198,GARANHUNS," 90,841 "
PE,24210,GLÓRIA DO GOITÁ," 21,832 "
PE,24236,GOIANA," 58,494 "
PE,24252,GRANITO," 6,517 "
PE,24279,GRAVATÁ," 67,209 "
PE,24295,IATI," 15,516 "
PE,24317,IBIMIRIM," 20,081 "
PE,24333,IBIRAJUBA," 6,840 "
PE,24350,IGARASSU," 81,743 "
PE,24376,IGUARACY," 8,616 "
PE,24511,ILHA DE ITAMARACÁ," 17,264 "
PE,24392,INAJÁ," 13,414 "
PE,24414,INGAZEIRA," 3,908 "
PE,24430,IPOJUCA," 76,990 "
PE,24457,IPUBI," 21,779 "
PE,24473,ITACURUBA," 4,237 "
PE,24490,ITAÍBA," 18,614 "
PE,25976,ITAMBÉ," 23,388 "
PE,24538,ITAPETIM," 12,338 "
PE,26336,ITAPISSUMA," 18,208 "
PE,24554,ITAQUITINGA," 13,840 "
PE,24570,JABOATÃO DOS GUARARAPES," 454,915 "
PE,23302,JAQUEIRA," 9,975 "
PE,24597,JATAÚBA," 14,437 "
PE,23264,JATOBÁ," 10,337 "
PE,24619,JOÃO ALFREDO," 24,580 "
PE,24635,JOAQUIM NABUCO," 13,268 "
PE,23124,JUCATI," 9,587 "
PE,24651,JUPI," 11,748 "
PE,24678,JUREMA," 11,443 "
PE,24694,LAGOA DE ITAENGA," 18,606 "
PE,23027,LAGOA DO CARRO," 13,561 "
PE,24716,LAGOA DO OURO," 10,759 "
PE,24732,LAGOA DOS GATOS," 12,188 "
PE,23183,LAGOA GRANDE," 21,107 "
PE,24759,LAJEDO," 28,494 "
PE,24775,LIMOEIRO," 42,706 "
PE,24791,MACAPARANA," 19,399 "
PE,24813,MACHADOS," 10,171 "
PE,23248,MANARI," 12,782 "
PE,24830,MARAIAL," 9,631 "
PE,24856,MIRANDIBA," 11,270 "
PE,25852,MOREILÂNDIA," 9,227 "
PE,24872,MORENO," 46,650 "
PE,24899,NAZARÉ DA MATA," 24,738 "
PE,24910,OLINDA," 282,952 "
PE,24937,OROBÓ," 20,424 "
PE,24953,OROCÓ," 12,450 "
PE,24970,OURICURI," 49,709 "
PE,24996,PALMARES," 39,806 "
PE,25011,PALMEIRINA," 6,596 "
PE,25038,PANELAS," 21,699 "
PE,25054,PARANATAMA," 10,167 "
PE,25070,PARNAMIRIM," 17,528 "
PE,25097,PASSIRA," 24,783 "
PE,25119,PAUDALHO," 44,511 "
PE,25135,PAULISTA," 216,859 "
PE,25151,PEDRA," 19,019 "
PE,25178,PESQUEIRA," 49,337 "
PE,25194,PETROLÂNDIA," 24,674 "
PE,25216,PETROLINA," 210,359 "
PE,25232,POÇÃO," 10,124 "
PE,25259,POMBOS," 18,423 "
PE,25275,PRIMAVERA," 11,630 "
PE,25291,QUIPAPÁ," 17,942 "
PE,23000,QUIXABA," 5,948 "
PE,25313,RECIFE," 1,157,324 "
PE,25330,RIACHO DAS ALMAS," 18,875 "
PE,25356,RIBEIRÃO," 27,255 "
PE,25372,RIO FORMOSO," 16,359 "
PE,25399,SAIRÉ," 10,683 "
PE,25410,SALGADINHO," 7,300 "
PE,25437,SALGUEIRO," 40,054 "
PE,25453,SALOÁ," 13,103 "
PE,25470,SANHARÓ," 15,757 "
PE,23108,SANTA CRUZ," 11,961 "
PE,23043,SANTA CRUZ DA BAIXA VERDE," 8,915 "
PE,25496,SANTA CRUZ DO CAPIBARIBE," 57,422 "
PE,23329,SANTA FILOMENA," 12,184 "
PE,25518,SANTA MARIA DA BOA VISTA," 30,011 "
PE,25534,SANTA MARIA DO CAMBUCÁ," 10,880 "
PE,25550,SANTA TEREZINHA," 7,653 "
PE,25577,SÃO BENEDITO DO SUL," 8,878 "
PE,25593,SÃO BENTO DO UNA," 36,063 "
PE,25615,SÃO CAITANO," 29,535 "
PE,25631,SÃO JOÃO," 18,494 "
PE,25658,SÃO JOAQUIM DO MONTE," 16,822 "
PE,25674,SÃO JOSÉ DA COROA GRANDE," 16,226 "
PE,25690,SÃO JOSÉ DO BELMONTE," 25,116 "
PE,25712,SÃO JOSÉ DO EGITO," 22,124 "
PE,25739,SÃO LOURENÇO DA MATA," 74,802 "
PE,25755,SÃO VICENTE FÉRRER," 13,771 "
PE,25771,SERRA TALHADA," 58,477 "
PE,25798,SERRITA," 15,457 "
PE,25810,SERTÂNIA," 25,936 "
PE,25836,SIRINHAÉM," 27,667 "
PE,25879,SOLIDÃO," 5,422 "
PE,25895,SURUBIM," 44,461 "
PE,25917,TABIRA," 19,821 "
PE,25933,TACAIMBÓ," 10,146 "
PE,25950,TACARATU," 16,381 "
PE,23280,TAMANDARÉ," 17,103 "
PE,25992,TAQUARITINGA DO NORTE," 20,055 "
PE,26018,TEREZINHA," 6,591 "
PE,26034,TERRA NOVA," 7,870 "
PE,26050,TIMBAÚBA," 41,498 "
PE,26077,TORITAMA," 31,171 "
PE,26093,TRACUNHAÉM," 10,608 "
PE,26115,TRINDADE," 22,278 "
PE,26131,TRIUNFO," 11,151 "
PE,26158,TUPANATINGA," 17,889 "
PE,26174,TUPARETAMA," 7,890 "
PE,26190,VENTUROSA," 14,272 "
PE,26212,VERDEJANTE," 7,459 "
PE,23086,VERTENTE DO LÉRIO," 7,555 "
PE,26239,VERTENTES," 16,348 "
PE,26255,VICÊNCIA," 21,771 "
PE,26271,VITÓRIA DE SANTO ANTÃO," 94,944 "
PE,23060,XEXÉU," 10,238 "
PI,12327,ACAUÃ," 5,783 "
PI,10014,AGRICOLÂNDIA," 4,869 "
PI,10030,ÁGUA BRANCA," 14,549 "
PI,12319,ALAGOINHA DO PIAUÍ," 5,898 "
PI,10022,ALEGRETE DO PIAUÍ," 4,244 "
PI,10057,ALTO LONGÁ," 11,835 "
PI,10073,ALTOS," 31,604 "
PI,12084,ALVORADA DO GURGUÉIA," 4,201 "
PI,10090,AMARANTE," 14,598 "
PI,10111,ANGICAL DO PIAUÍ," 6,474 "
PI,10138,ANÍSIO DE ABREU," 6,524 "
PI,10154,ANTÔNIO ALMEIDA," 2,941 "
PI,10170,AROAZES," 5,339 "
PI,12734,AROEIRAS DO ITAIM," 3,412 "
PI,10197,ARRAIAL," 4,002 "
PI,12106,ASSUNÇÃO DO PIAUÍ," 6,841 "
PI,10219,AVELINO LOPES," 8,861 "
PI,10049,BAIXA GRANDE DO RIBEIRO," 9,000 "
PI,10600,BARRA D'ALCÂNTARA," 3,314 "
PI,10235,BARRAS," 34,744 "
PI,10251,BARREIRAS DO PIAUÍ," 3,432 "
PI,10278,BARRO DURO," 5,813 "
PI,10294,BATALHA," 21,142 "
PI,10626,BELA VISTA DO PIAUÍ," 3,311 "
PI,12335,BELÉM DO PIAUÍ," 2,818 "
PI,10316,BENEDITINOS," 8,988 "
PI,10332,BERTOLÍNIA," 4,346 "
PI,12122,BETÂNIA DO PIAUÍ," 5,109 "
PI,10669,BOA HORA," 6,126 "
PI,10359,BOCAINA," 5,066 "
PI,10375,BOM JESUS," 17,513 "
PI,10065,BOM PRINCÍPIO DO PIAUÍ," 5,980 "
PI,10081,BONFIM DO PIAUÍ," 4,889 "
PI,12149,BOQUEIRÃO DO PIAUÍ," 5,224 "
PI,10006,BRASILEIRA," 7,141 "
PI,10642,BREJO DO PIAUÍ," 3,599 "
PI,10391,BURITI DOS LOPES," 15,701 "
PI,10103,BURITI DOS MONTES," 6,088 "
PI,10120,CABECEIRAS DO PIAUÍ," 8,884 "
PI,12343,CAJAZEIRAS DO PIAUÍ," 3,392 "
PI,12572,CAJUEIRO DA PRAIA," 6,393 "
PI,10146,CALDEIRÃO GRANDE DO PIAUÍ," 4,706 "
PI,10413,CAMPINAS DO PIAUÍ," 5,210 "
PI,12351,CAMPO ALEGRE DO FIDALGO," 4,151 "
PI,10723,CAMPO GRANDE DO PIAUÍ," 4,850 "
PI,10740,CAMPO LARGO DO PIAUÍ," 4,807 "
PI,10430,CAMPO MAIOR," 33,874 "
PI,10162,CANAVIEIRA," 3,229 "
PI,10456,CANTO DO BURITI," 14,671 "
PI,10472,CAPITÃO DE CAMPOS," 9,592 "
PI,10707,CAPITÃO GERVÁSIO OLIVEIRA," 3,437 "
PI,10499,CARACOL," 7,493 "
PI,12670,CARAÚBAS DO PIAUÍ," 4,794 "
PI,12165,CARIDADE DO PIAUÍ," 4,451 "
PI,10510,CASTELO DO PIAUÍ," 15,548 "
PI,12688,CAXINGÓ," 5,245 "
PI,10537,COCAL," 19,815 "
PI,12360,COCAL DE TELHA," 4,248 "
PI,12696,COCAL DOS ALVES," 5,163 "
PI,10189,COIVARAS," 4,842 "
PI,10200,COLÔNIA DO GURGUÉIA," 4,850 "
PI,10227,COLÔNIA DO PIAUÍ," 6,095 "
PI,10553,CONCEIÇÃO DO CANINDÉ," 4,476 "
PI,10243,CORONEL JOSÉ DIAS," 4,612 "
PI,10570,CORRENTE," 19,306 "
PI,10596,CRISTALÂNDIA DO PIAUÍ," 5,148 "
PI,10618,CRISTINO CASTRO," 7,383 "
PI,10634,CURIMATÁ," 8,311 "
PI,10766,CURRAIS," 4,970 "
PI,12181,CURRAL NOVO DO PIAUÍ," 4,199 "
PI,12580,CURRALINHOS," 4,673 "
PI,10650,DEMERVAL LOBÃO," 11,234 "
PI,12297,DIRCEU ARCOVERDE," 5,824 "
PI,10677,DOM EXPEDITO LOPES," 5,966 "
PI,10685,DOM INOCÊNCIO," 6,730 "
PI,11410,DOMINGOS MOURÃO," 3,970 "
PI,10693,ELESBÃO VELOSO," 12,327 "
PI,10715,ELISEU MARTINS," 3,650 "
PI,10731,ESPERANTINA," 29,308 "
PI,10260,FARTURA DO PIAUÍ," 4,245 "
PI,10758,FLORES DO PIAUÍ," 4,033 "
PI,12637,FLORESTA DO PIAUÍ," 2,544 "
PI,10774,FLORIANO," 42,879 "
PI,10790,FRANCINÓPOLIS," 4,209 "
PI,10812,FRANCISCO AYRES," 4,194 "
PI,12378,FRANCISCO MACEDO," 2,603 "
PI,10839,FRANCISCO SANTOS," 7,231 "
PI,10855,FRONTEIRAS," 8,906 "
PI,10782,GEMINIANO," 5,863 "
PI,10871,GILBUÉS," 7,467 "
PI,10898,GUADALUPE," 8,331 "
PI,10804,GUARIBAS," 3,941 "
PI,10910,HUGO NAPOLEÃO," 4,043 "
PI,10820,ILHA GRANDE," 8,063 "
PI,10936,INHUMA," 12,385 "
PI,10952,IPIRANGA DO PIAUÍ," 7,097 "
PI,10979,ISAÍAS COELHO," 5,854 "
PI,10995,ITAINÓPOLIS," 9,030 "
PI,11010,ITAUEIRA," 8,637 "
PI,10286,JACOBINA DO PIAUÍ," 4,761 "
PI,11037,JAICÓS," 12,798 "
PI,10308,JARDIM DO MULATO," 4,191 "
PI,12394,JATOBÁ DO PIAUÍ," 5,978 "
PI,11053,JERUMENHA," 4,432 "
PI,12386,JOÃO COSTA," 3,191 "
PI,11070,JOAQUIM PIRES," 10,814 "
PI,12408,JOCA MARQUES," 4,691 "
PI,11096,JOSÉ DE FREITAS," 31,605 "
PI,12416,JUAZEIRO DO PIAUÍ," 5,213 "
PI,12203,JÚLIO BORGES," 4,400 "
PI,10847,JUREMA," 4,497 "
PI,10324,LAGOA ALEGRE," 7,508 "
PI,10863,LAGOA DE SÃO FRANCISCO," 5,495 "
PI,10340,LAGOA DO BARRO DO PIAUÍ," 4,009 "
PI,12424,LAGOA DO PIAUÍ," 4,072 "
PI,12220,LAGOA DO SÍTIO," 4,359 "
PI,12432,LAGOINHA DO PIAUÍ," 2,948 "
PI,11118,LANDRI SALES," 4,472 "
PI,11134,LUIS CORREIA," 24,356 "
PI,11150,LUZILÂNDIA," 18,966 "
PI,12440,MADEIRO," 6,210 "
PI,11177,MANOEL EMÍDIO," 4,460 "
PI,10367,MARCOLÂNDIA," 6,944 "
PI,11193,MARCOS PARENTE," 3,904 "
PI,12467,MASSAPÊ DO PIAUÍ," 5,631 "
PI,11215,MATIAS OLÍMPIO," 8,394 "
PI,11231,MIGUEL ALVES," 24,131 "
PI,11258,MIGUEL LEÃO," 1,586 "
PI,12246,MILTON BRANDÃO," 6,561 "
PI,11274,MONSENHOR GIL," 9,475 "
PI,11290,MONSENHOR HIPÓLITO," 6,383 "
PI,11312,MONTE ALEGRE DO PIAUÍ," 8,416 "
PI,10880,MORRO CABEÇA NO TEMPO," 3,332 "
PI,12459,MORRO DO CHAPÉU DO PIAUÍ," 5,253 "
PI,12475,MURICI DOS PORTELAS," 5,508 "
PI,11339,NAZARÉ DO PIAUÍ," 6,182 "
PI,12726,NAZÁRIA," 10,864 "
PI,10928,NOSSA SENHORA DE NAZARÉ," 5,100 "
PI,11355,NOSSA SENHORA DOS REMÉDIOS," 7,811 "
PI,10960,NOVA SANTA RITA," 3,672 "
PI,11371,NOVO ORIENTE DO PIAUÍ," 4,956 "
PI,10901,NOVO SANTO ANTÔNIO," 4,276 "
PI,11398,OEIRAS," 28,615 "
PI,12483,OLHO D'ÁGUA DO PIAUÍ," 2,239 "
PI,11436,PADRE MARCOS," 5,744 "
PI,11452,PAES LANDIM," 3,662 "
PI,12262,PAJEÚ DO PIAUÍ," 3,339 "
PI,11479,PALMEIRA DO PIAUÍ," 4,352 "
PI,11495,PALMEIRAIS," 11,718 "
PI,10944,PAQUETÁ," 3,749 "
PI,11517,PARNAGUÁ," 6,872 "
PI,11533,PARNAÍBA," 103,347 "
PI,10405,PASSAGEM FRANCA DO PIAUÍ," 3,836 "
PI,10383,PATOS DO PIAUÍ," 5,249 "
PI,12718,PAU D'ARCO DO PIAUÍ," 4,698 "
PI,11550,PAULISTANA," 15,199 "
PI,12289,PAVUSSU," 3,704 "
PI,11576,PEDRO II," 30,753 "
PI,12491,PEDRO LAURENTINO," 2,622 "
PI,11592,PICOS," 50,898 "
PI,11614,PIMENTEIRAS," 8,594 "
PI,11630,PIO IX," 13,421 "
PI,11657,PIRACURUCA," 23,197 "
PI,11673,PIRIPIRI," 49,728 "
PI,11690,PORTO," 8,557 "
PI,12599,PORTO ALEGRE DO PIAUÍ," 1,955 "
PI,11711,PRATA DO PIAUÍ," 3,352 "
PI,10421,QUEIMADA NOVA," 6,467 "
PI,11738,REDENÇÃO DO GURGUÉIA," 6,261 "
PI,11754,REGENERAÇÃO," 13,592 "
PI,12300,RIACHO FRIO," 3,933 "
PI,12602,RIBEIRA DO PIAUÍ," 3,375 "
PI,11770,RIBEIRO GONÇALVES," 5,008 "
PI,11797,RIO GRANDE DO PIAUÍ," 5,015 "
PI,11819,SANTA CRUZ DO PIAUÍ," 5,180 "
PI,10448,SANTA CRUZ DOS MILAGRES," 3,445 "
PI,11835,SANTA FILOMENA," 4,858 "
PI,11851,SANTA LUZ," 4,584 "
PI,10464,SANTA ROSA DO PIAUÍ," 4,482 "
PI,10480,SANTANA DO PIAUÍ," 3,863 "
PI,11878,SANTO ANTÔNIO DE LISBOA," 5,549 "
PI,12653,SANTO ANTÔNIO DOS MILAGRES," 1,807 "
PI,11894,SANTO INÁCIO DO PIAUÍ," 3,298 "
PI,10502,SÃO BRAZ DO PIAUÍ," 3,812 "
PI,11916,SÃO FÉLIX DO PIAUÍ," 3,721 "
PI,12505,SÃO FRANCISCO DE ASSIS DO PIAUÍ," 4,325 "
PI,11932,SÃO FRANCISCO DO PIAUÍ," 5,822 "
PI,12610,SÃO GONÇALO DO GURGUÉIA," 2,302 "
PI,11959,SÃO GONÇALO DO PIAUÍ," 4,496 "
PI,11088,SÃO JOÃO DA CANABRAVA," 4,525 "
PI,12009,SÃO JOÃO DA FRONTEIRA," 4,739 "
PI,11975,SÃO JOÃO DA SERRA," 6,304 "
PI,12025,SÃO JOÃO DA VARJOTA," 3,808 "
PI,10987,SÃO JOÃO DO ARRAIAL," 6,754 "
PI,11991,SÃO JOÃO DO PIAUÍ," 14,215 "
PI,10529,SÃO JOSÉ DO DIVINO," 4,735 "
PI,12017,SÃO JOSÉ DO PEIXE," 3,095 "
PI,12033,SÃO JOSÉ DO PIAUÍ," 5,736 "
PI,12050,SÃO JULIÃO," 5,190 "
PI,10561,SÃO LOURENÇO DO PIAUÍ," 4,805 "
PI,12629,SÃO LUIS DO PIAUÍ," 2,393 "
PI,12661,SÃO MIGUEL DA BAIXA GRANDE," 2,448 "
PI,12700,SÃO MIGUEL DO FIDALGO," 2,836 "
PI,12076,SÃO MIGUEL DO TAPUIO," 15,188 "
PI,12092,SÃO PEDRO DO PIAUÍ," 10,552 "
PI,12114,SÃO RAIMUNDO NONATO," 23,392 "
PI,12041,SEBASTIÃO BARROS," 3,955 "
PI,12068,SEBASTIÃO LEAL," 3,766 "
PI,10545,SIGEFREDO PACHECO," 8,079 "
PI,12130,SIMÕES," 10,895 "
PI,12157,SIMPLÍCIO MENDES," 9,060 "
PI,12173,SOCORRO DO PIAUÍ," 4,121 "
PI,12513,SUSSUAPARA," 6,238 "
PI,12530,TAMBORIL DO PIAUÍ," 2,575 "
PI,12521,TANQUE DO PIAUÍ," 2,353 "
PI,12190,TERESINA," 558,661 "
PI,12211,UNIÃO," 34,288 "
PI,12238,URUÇUÍ," 16,721 "
PI,12254,VALENÇA DO PIAUÍ," 15,560 "
PI,10588,VÁRZEA BRANCA," 4,382 "
PI,12270,VÁRZEA GRANDE," 3,870 "
PI,12556,VERA MENDES," 3,265 "
PI,12548,VILA NOVA DO PIAUÍ," 2,731 "
PI,12564,WALL FERRAZ," 3,720 "
PR,74012,ABATIÁ," 5,822 "
PR,74039,ADRIANÓPOLIS," 5,269 "
PR,74055,AGUDOS DO SUL," 7,516 "
PR,74071,ALMIRANTE TAMANDARÉ," 70,987 "
PR,84557,ALTAMIRA DO PARANÁ," 3,311 "
PR,74926,ALTO PARAÍSO," 2,982 "
PR,74098,ALTO PARANÁ," 10,727 "
PR,74110,ALTO PIQUIRI," 7,276 "
PR,79510,ALTÔNIA," 14,551 "
PR,74136,ALVORADA DO SUL," 6,946 "
PR,74152,AMAPORÃ," 3,879 "
PR,74179,AMPÉRE," 14,808 "
PR,74101,ANAHY," 2,691 "
PR,74195,ANDIRÁ," 16,443 "
PR,74128,ÂNGULO," 2,592 "
PR,74217,ANTONINA," 14,893 "
PR,74233,ANTONIO OLINTO," 6,372 "
PR,74250,APUCARANA," 91,751 "
PR,74276,ARAPONGAS," 79,682 "
PR,74292,ARAPOTI," 18,769 "
PR,75108,ARAPUÃ," 3,183 "
PR,74314,ARARUNA," 11,190 "
PR,74357,ARAUCÁRIA," 98,733 "
PR,75086,ARIRANHA DO IVAÍ," 2,254 "
PR,74373,ASSAÍ," 12,275 "
PR,79537,ASSIS CHATEAUBRIAND," 26,999 "
PR,74390,ASTORGA," 20,749 "
PR,74411,ATALAIA," 3,551 "
PR,74438,BALSA NOVA," 11,454 "
PR,74454,BANDEIRANTES," 24,642 "
PR,74470,BARBOSA FERRAZ," 8,757 "
PR,74519,BARRA DO JACARÉ," 2,614 "
PR,74497,BARRACÃO," 7,342 "
PR,75124,BELA VISTA DA CAROBA," 2,924 "
PR,74535,BELA VISTA DO PARAÍSO," 12,357 "
PR,74551,BITURUNA," 11,870 "
PR,74578,BOA ESPERANÇA," 3,768 "
PR,74144,BOA ESPERANÇA DO IGUAÇU," 2,273 "
PR,75140,BOA VENTURA DE SÃO ROQUE," 5,060 "
PR,79812,BOA VISTA DA APARECIDA," 7,031 "
PR,74594,BOCAIÚVA DO SUL," 9,339 "
PR,75167,BOM JESUS DO SUL," 3,401 "
PR,74616,BOM SUCESSO," 5,108 "
PR,74160,BOM SUCESSO DO SUL," 2,972 "
PR,74632,BORRAZÓPOLIS," 6,721 "
PR,79839,BRAGANEY," 4,687 "
PR,74187,BRASILÂNDIA DO SUL," 2,985 "
PR,74659,CAFEARA," 2,143 "
PR,79855,CAFELÂNDIA," 13,103 "
PR,74209,CAFEZAL DO SUL," 4,009 "
PR,74675,CALIFÓRNIA," 6,682 "
PR,74691,CAMBARÁ," 17,888 "
PR,74713,CAMBÉ," 70,817 "
PR,74730,CAMBIRA," 5,918 "
PR,74756,CAMPINA DA LAGOA," 11,966 "
PR,75183,CAMPINA DO SIMÃO," 3,506 "
PR,74772,CAMPINA GRANDE DO SUL," 31,796 "
PR,74780,CAMPO BONITO," 3,578 "
PR,74799,CAMPO DO TENENTE," 5,961 "
PR,74810,CAMPO LARGO," 87,489 "
PR,75205,CAMPO MAGRO," 19,314 "
PR,74837,CAMPO MOURÃO," 65,951 "
PR,74853,CÂNDIDO DE ABREU," 11,367 "
PR,74225,CANDÓI," 11,298 "
PR,84514,CANTAGALO," 8,920 "
PR,74870,CAPANEMA," 15,707 "
PR,74896,CAPITÃO LEÔNIDAS MARQUES," 12,273 "
PR,75221,CARAMBEÍ," 15,851 "
PR,74918,CARLÓPOLIS," 11,422 "
PR,74934,CASCAVEL," 223,090 "
PR,74950,CASTRO," 52,265 "
PR,74977,CATANDUVAS," 7,353 "
PR,74993,CENTENÁRIO DO SUL," 8,510 "
PR,75019,CERRO AZUL," 12,853 "
PR,79570,CÉU AZUL," 8,985 "
PR,75035,CHOPINZINHO," 16,059 "
PR,75051,CIANORTE," 56,340 "
PR,75078,CIDADE GAÚCHA," 9,234 "
PR,75094,CLEVELÂNDIA," 12,907 "
PR,75132,COLOMBO," 147,388 "
PR,75159,COLORADO," 19,077 "
PR,75175,CONGONHINHAS," 6,383 "
PR,75191,CONSELHEIRO MAIRINCK," 2,975 "
PR,75213,CONTENDA," 12,362 "
PR,75230,CORBÉLIA," 14,113 "
PR,75256,CORNÉLIO PROCÓPIO," 34,698 "
PR,75248,CORONEL DOMINGOS SOARES," 5,027 "
PR,75272,CORONEL VIVIDA," 16,987 "
PR,75280,CORUMBATAÍ DO SUL," 3,562 "
PR,75337,CRUZ MACHADO," 13,258 "
PR,74241,CRUZEIRO DO IGUAÇU," 3,628 "
PR,75299,CRUZEIRO DO OESTE," 17,149 "
PR,75310,CRUZEIRO DO SUL," 3,922 "
PR,75264,CRUZMALTINA," 2,854 "
PR,75353,CURITIBA," 1,349,888 "
PR,75370,CURIÚVA," 10,468 "
PR,75396,DIAMANTE DO NORTE," 4,646 "
PR,74268,DIAMANTE DO SUL," 3,154 "
PR,75400,DIAMANTE D'OESTE," 3,801 "
PR,75418,DOIS VIZINHOS," 31,699 "
PR,84654,DOURADINA," 6,588 "
PR,75434,DOUTOR CAMARGO," 5,046 "
PR,74942,DOUTOR ULYSSES," 4,694 "
PR,75450,ENÉAS MARQUES," 5,393 "
PR,75477,ENGENHEIRO BELTRÃO," 10,832 "
PR,74284,ENTRE RIOS DO OESTE," 3,528 "
PR,75302,ESPERANÇA NOVA," 2,086 "
PR,75329,ESPIGÃO ALTO DO IGUAÇU," 4,389 "
PR,74306,FAROL," 2,700 "
PR,75493,FAXINAL," 12,687 "
PR,74322,FAZENDA RIO GRANDE," 75,330 "
PR,75515,FÊNIX," 4,093 "
PR,75345,FERNANDES PINHEIRO," 5,295 "
PR,84573,FIGUEIRA," 6,429 "
PR,74349,FLOR DA SERRA DO SUL," 4,446 "
PR,75531,FLORAÍ," 4,489 "
PR,75558,FLORESTA," 6,516 "
PR,75574,FLORESTÓPOLIS," 9,054 "
PR,75590,FLÓRIDA," 2,238 "
PR,75612,FORMOSA DO OESTE," 6,316 "
PR,75639,FOZ DO IGUAÇU," 183,306 "
PR,75361,FOZ DO JORDÃO," 4,281 "
PR,79774,FRANCISCO ALVES," 5,865 "
PR,75655,FRANCISCO BELTRÃO," 66,147 "
PR,75671,GENERAL CARNEIRO," 8,474 "
PR,74004,GODOY MOREIRA," 2,712 "
PR,75698,GOIOERÊ," 22,555 "
PR,75388,GOIOXIM," 5,200 "
PR,79596,GRANDES RIOS," 5,184 "
PR,75710,GUAÍRA," 22,639 "
PR,75736,GUAIRAÇÁ," 5,133 "
PR,75426,GUAMIRANGA," 6,284 "
PR,75752,GUAPIRAMA," 3,664 "
PR,75779,GUAPOREMA," 1,927 "
PR,75795,GUARACI," 4,234 "
PR,75817,GUARANIAÇU," 11,080 "
PR,75833,GUARAPUAVA," 126,989 "
PR,75850,GUARAQUEÇABA," 6,635 "
PR,75876,GUARATUBA," 26,455 "
PR,74365,HONÓRIO SERPA," 4,255 "
PR,75892,IBAITI," 21,103 "
PR,74020,IBEMA," 5,215 "
PR,75914,IBIPORÃ," 38,337 "
PR,75930,ICARAÍMA," 7,200 "
PR,75957,IGUARAÇU," 3,895 "
PR,74381,IGUATU," 1,997 "
PR,75442,IMBAÚ," 8,083 "
PR,75973,IMBITUVA," 22,708 "
PR,75990,INÁCIO MARTINS," 8,047 "
PR,76015,INAJÁ," 2,306 "
PR,79618,INDIANÓPOLIS," 3,746 "
PR,76031,IPIRANGA," 10,834 "
PR,76058,IPORÃ," 11,673 "
PR,74403,IRACEMA DO OESTE," 2,372 "
PR,76074,IRATI," 44,567 "
PR,76090,IRETAMA," 7,668 "
PR,76112,ITAGUAJÉ," 3,576 "
PR,75000,ITAIPULÂNDIA," 9,094 "
PR,76139,ITAMBARACÁ," 5,060 "
PR,76155,ITAMBÉ," 5,208 "
PR,76171,ITAPEJARA D'OESTE," 9,067 "
PR,74446,ITAPERUÇU," 19,603 "
PR,76198,ITAÚNA DO SUL," 3,073 "
PR,76210,IVAÍ," 9,938 "
PR,76236,IVAIPORÃ," 25,152 "
PR,74462,IVATÉ," 5,782 "
PR,76252,IVATUBA," 2,754 "
PR,76279,JABOTI," 4,029 "
PR,76295,JACAREZINHO," 28,976 "
PR,76317,JAGUAPITÃ," 10,260 "
PR,76333,JAGUARIAÍVA," 25,031 "
PR,76350,JANDAIA DO SUL," 15,807 "
